Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
4.4,6.75,4.25,5.0,7.25,,,,4.8,5.5,,13.65,16.65,,,13.45
5.2,4.75,4.5,4.75,3.0,,,,2.8,4.08,,14.45,12.95,,,12.5
5.8,7.09,5.5,7.5,4.25,,,,5.0,5.75,,18.8,17.55,,,16.3
2.6,5.0,,,,2.75,4.0,6.25,2.2,,4.33,,,11.75,,
4.0,8.0,3.0,3.25,2.75,3.75,4.25,6.0,4.0,3.0,4.67,10.25,10.0,16.0,16.0,11.0
4.2,6.25,,,,3.25,5.5,8.5,2.4,,5.75,,,15.0,,
3.4,4.5,,,,3.75,5.0,7.25,3.2,,5.33,,,13.25,,
3.6,6.0,3.0,2.5,5.25,4.0,2.75,6.0,2.6,3.58,4.25,9.1,11.35,12.75,,9.2
3.0,7.5,,,,3.0,4.75,8.5,2.8,,5.42,,,15.25,,
3.6,4.25,3.75,3.5,2.5,3.25,4.5,6.5,1.8,3.25,4.75,10.85,9.6,12.0,,9.15
2.0,3.75,,,,3.75,4.5,7.25,2.0,,5.17,,,12.0,,
3.6,6.75,,,,4.25,4.75,6.75,3.4,,5.25,,,15.75,,
4.4,6.0,,,,3.75,7.0,8.25,4.6,,6.33,,,16.75,15.0,
3.2,6.0,,,,4.25,4.5,6.5,2.4,,5.08,,,14.75,,
3.0,6.5,,,,3.25,5.0,7.75,1.4,,5.33,,,14.75,,
6.4,7.5,6.75,4.75,4.5,,,,4.0,5.33,,17.9,15.65,,,17.15
6.0,8.0,6.25,6.25,3.75,,,,3.8,5.42,,18.5,16.0,,,16.05
5.2,4.5,4.25,3.5,5.5,,,,4.6,4.42,,12.95,14.2,,,14.05
3.4,6.75,3.25,4.75,3.0,,,,3.2,3.67,,11.4,11.15,,,9.85
5.8,6.5,3.75,5.0,5.5,,,,2.8,4.75,,14.55,16.3,,,12.35
3.2,4.5,,,,3.25,4.25,6.5,3.0,,4.67,,,12.0,,
6.0,5.75,4.75,5.0,4.5,,,,2.8,4.75,,15.75,15.5,,,13.55
4.0,6.0,4.0,3.5,5.25,,,,3.4,4.25,,11.5,12.75,,,11.4
5.8,6.5,3.25,4.5,6.25,,,,3.2,4.67,,13.55,16.55,,,12.25
1.6,3.25,,,,3.5,3.25,6.0,2.0,,4.25,,,10.0,,
5.2,6.5,6.75,4.5,4.75,,,,4.0,5.33,,16.45,14.45,,,15.95
3.6,6.0,3.25,3.25,4.25,3.75,6.25,5.75,2.6,3.58,5.25,10.1,11.1,16.0,,9.45
1.8,5.75,3.0,4.0,3.5,,,,3.2,3.5,,8.8,9.3,,,8.0
4.0,5.5,,,,4.0,6.25,7.75,2.4,,6.0,,,15.75,,
4.0,6.5,3.75,3.0,3.25,5.0,3.5,7.5,2.6,3.33,5.33,10.75,10.25,15.0,,10.35
3.0,4.25,2.25,2.5,2.5,,,,3.4,2.42,,7.75,8.0,,,8.65
5.4,7.5,4.5,5.25,4.75,,,,2.4,4.83,,15.15,15.4,,,12.3
6.6,7.5,7.25,6.5,5.25,,,,5.2,6.33,,20.35,18.35,,,19.05
5.0,7.25,4.25,3.0,3.0,,,,3.2,3.42,,12.25,11.0,,,12.45
4.0,6.75,5.25,5.0,3.75,,,,3.2,4.67,,14.25,12.75,,,12.45
6.6,7.75,7.0,6.0,4.5,,,,4.4,5.83,,19.6,17.1,,,18.0
5.2,7.0,4.5,3.25,5.25,,,,2.8,4.33,,12.95,13.7,,15.0,12.5
7.0,6.0,5.5,5.5,5.25,,,,4.8,5.42,,18.0,17.75,,,17.3
6.8,6.0,6.0,5.25,3.0,,,,2.0,4.75,,18.05,15.05,,,14.8
7.4,6.75,4.75,7.75,9.5,,,,5.0,7.33,,19.9,24.65,,,17.15
4.0,4.75,4.25,2.5,5.25,,,,3.4,4.0,,10.75,11.75,,,11.65
4.2,7.25,,,,4.25,4.75,6.5,2.8,,5.17,,,16.25,,
2.6,4.25,,,,2.5,4.25,5.75,2.2,,4.17,,,11.0,,
4.4,7.25,4.5,5.0,4.0,4.25,4.25,8.0,3.0,4.5,5.5,13.9,13.4,15.75,,11.9
3.8,5.75,,,,3.5,4.5,5.75,2.2,,4.58,,,13.75,,
4.2,6.17,,,,6.75,5.75,7.25,1.6,,6.58,,,18.67,,
3.0,7.25,,,,4.25,6.75,7.5,2.6,,6.17,,,18.25,,
3.2,6.75,,,,3.0,4.25,8.5,2.4,,5.25,,,14.0,,
3.8,7.5,,,,5.25,5.25,7.75,2.4,,6.08,,,18.0,,
3.6,4.5,2.75,2.5,3.5,3.75,5.75,6.75,2.6,2.92,5.42,8.85,9.6,14.0,,8.95
2.0,3.75,,,,1.75,3.75,4.0,2.4,,3.17,,,9.25,,
5.6,7.5,4.25,4.25,5.0,,,,2.4,4.5,,14.1,14.85,,,12.25
3.8,7.0,,,,6.25,7.75,9.5,5.4,,7.83,,,21.0,,
4.0,7.0,,,,4.5,6.0,7.5,5.8,,6.0,,,17.5,,
4.8,7.5,2.75,4.75,5.75,,,,2.4,4.42,,12.3,15.3,,,9.95
3.4,7.5,,,,2.25,5.0,6.0,2.6,,4.42,,,14.75,,
6.0,6.0,5.5,6.5,3.5,,,,4.0,5.17,,18.0,16.0,,16.0,15.5
5.4,8.0,4.5,4.0,3.75,,,,3.6,4.08,,13.9,13.15,,17.0,13.5
5.6,7.5,6.5,5.0,4.75,,,,6.6,5.42,,17.1,15.35,,,18.7
6.0,7.0,3.75,5.25,5.5,,,,3.0,4.83,,15.0,16.75,,16.0,12.75
