Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
5.6,5.75,5.25,7.25,4.25,,,,3.0,5.58,,18.1,17.1,,,13.85
6.8,5.5,6.5,6.5,4.25,,,,2.2,5.75,,19.8,17.55,,,15.5
4.0,5.25,,,,7.5,5.75,7.25,2.6,,6.83,,,18.5,,
1.6,3.0,,,,3.25,3.5,4.0,1.2,,3.58,,,9.75,,
4.4,5.25,,,,3.5,3.75,6.75,2.4,,4.67,,,12.5,,
4.4,6.0,,,,4.5,5.75,9.5,4.8,,6.58,,,16.25,,
5.8,6.5,,,,4.5,4.75,7.75,5.6,,5.67,,,15.75,,
4.6,6.25,,,,4.75,5.5,6.75,2.4,,5.67,,,16.5,,
6.2,5.25,,,,5.0,6.75,8.5,2.8,,6.75,,,17.0,,
4.8,5.0,,,,2.5,5.25,7.75,2.4,,5.17,,,12.75,,
5.4,5.75,,,,3.5,5.75,8.25,2.2,,5.83,,,15.0,,
3.2,4.75,,,,5.5,6.5,7.75,2.4,,6.58,,,16.75,,
4.4,4.0,,,,2.5,5.0,6.75,3.0,,4.75,,,11.5,,
3.2,5.25,,,,3.0,5.75,6.25,2.0,,5.0,,,14.0,,
3.8,4.5,,,,3.25,5.5,5.75,2.8,,4.83,,,13.25,,
3.4,5.0,,,,2.75,5.0,7.25,2.2,,5.0,,,12.75,,
3.0,6.0,,,,3.25,5.0,6.0,3.4,,4.75,,,14.25,,
3.4,3.5,,,,2.0,5.5,6.75,1.6,,4.75,,,11.0,,
2.4,5.25,,,,3.25,5.25,7.0,3.6,,5.17,,,13.75,,
5.2,7.0,,,,6.5,,,,,,,,,,
5.0,6.0,,,,7.5,,,,,,,,,,
7.8,8.0,,,,8.0,,,,,,,,,,
2.8,3.5,,,,3.25,,,,,,,,,,
5.6,7.0,,,,5.75,,,,,,,,,,
5.6,7.0,,,,6.25,,,,,,,,,,
6.4,6.75,,,,6.5,,,,,,,,,,
3.8,4.25,,,,3.0,,,,,,,,,,
3.4,3.0,,,,4.75,,,,,,,,,,
5.4,5.25,,,,6.5,,,,,,,,,,
